Sex	Age	Total_Deaths	Covid19_Deaths	Death_Rate
0	00	15042	62	0.004121792
0	01	1079	10	0.009267841
0	02	678	6	0.008849558
0	03	513	8	0.015594542
0	04	440	9	0.020454545
0	05	372	3	0.008064516
0	06	353	5	0.014164306
0	07	352	6	0.017045455
0	08	325	7	0.021538462
0	09	303	7	0.02310231
0	10	334	5	0.01497006
0	11	360	6	0.016666667
0	12	460	9	0.019565217
0	13	563	12	0.021314387
0	14	628	17	0.027070064
0	15	761	22	0.02890933
0	16	938	24	0.025586354
0	17	1111	30	0.0270027
0	18	1539	40	0.025990903
0	19	1651	62	0.037552998
0	20	1849	75	0.040562466
0	21	2078	69	0.033205005
0	22	2141	114	0.053246147
0	23	2392	120	0.050167224
0	24	2465	123	0.04989858
0	25	2740	157	0.05729927
0	26	2938	152	0.051735875
0	27	3234	202	0.062461348
0	28	3443	201	0.05837932
0	29	3886	239	0.061502831
0	30	4213	328	0.077854261
0	31	4296	336	0.078212291
0	32	4644	369	0.079457364
0	33	4898	377	0.076970192
0	34	5040	405	0.080357143
0	35	5350	436	0.081495327
0	36	5568	462	0.082974138
0	37	5934	481	0.081058308
0	38	6239	580	0.092963616
0	39	6610	610	0.092284418
0	40	6945	692	0.099640029
0	41	7309	748	0.102339581
0	42	7417	806	0.108669273
0	43	7756	912	0.117586385
0	44	8104	976	0.120434353
0	45	8586	1014	0.118099231
0	46	9273	1116	0.120349401
0	47	10000	1203	0.1203
0	48	11096	1408	0.126892574
0	49	12443	1566	0.125853894
0	50	13816	1722	0.124638101
0	51	14416	1708	0.118479467
0	52	15335	1879	0.12253016
0	53	16451	2021	0.122849675
0	54	17975	2191	0.121891516
0	55	20204	2402	0.118887349
0	56	22766	2769	0.121628745
0	57	25121	3016	0.120058915
0	58	26688	3308	0.123950839
0	59	29670	3648	0.122952477
0	60	31965	3989	0.124792742
0	61	33990	4232	0.124507208
0	62	35862	4619	0.128799286
0	63	38386	5016	0.130672641
0	64	39859	5201	0.130484959
0	65	41195	5387	0.130768297
0	66	42683	5552	0.130075206
0	67	44253	5715	0.129143787
0	68	45864	5979	0.130363684
0	69	47651	6242	0.130994103
0	70	49973	6385	0.127768995
0	71	53517	6944	0.129753163
0	72	57597	7334	0.127333021
0	73	62560	7809	0.124824169
0	74	60419	7838	0.129727404
0	75	56592	7166	0.126625671
0	76	61339	7655	0.124798252
0	77	66963	8296	0.123889312
0	78	68345	8569	0.125378594
0	79	67117	8152	0.121459541
0	80	68606	8253	0.120295601
0	81	70509	8498	0.120523621
0	82	73550	8856	0.120407886
0	83	74850	8755	0.116967268
0	84	76889	9068	0.117936246
0	85	1038007	112140	0.108033954
1	00	18390	70	0.003806417
1	01	1311	16	0.012204424
1	02	894	4	0.004474273
1	03	745	5	0.006711409
1	04	576	5	0.008680556
1	05	524	8	0.015267176
1	06	462	3	0.006493506
1	07	433	7	0.016166282
1	08	390	8	0.020512821
1	09	418	11	0.026315789
1	10	476	9	0.018907563
1	11	547	9	0.016453382
1	12	601	14	0.023294509
1	13	858	16	0.018648019
1	14	1151	10	0.008688097
1	15	1587	28	0.017643352
1	16	2262	25	0.011052166
1	17	3030	46	0.015181518
1	18	4132	55	0.013310745
1	19	5041	86	0.017060107
1	20	5288	101	0.019099849
1	21	6046	125	0.020674826
1	22	6260	139	0.022204473
1	23	6493	172	0.026490066
1	24	6884	209	0.030360256
1	25	7456	206	0.027628755
1	26	7863	250	0.03179448
1	27	8378	314	0.037479112
1	28	9009	361	0.04007104
1	29	9657	442	0.045769908
1	30	10054	460	0.045752934
1	31	10332	543	0.052555168
1	32	10290	539	0.052380952
1	33	10433	626	0.060001917
1	34	10758	709	0.065904443
1	35	11083	740	0.066768925
1	36	11292	803	0.071112292
1	37	11721	924	0.078832864
1	38	12158	948	0.077973351
1	39	12964	1073	0.082767664
1	40	13281	1094	0.082373315
1	41	13457	1307	0.097124173
1	42	13396	1417	0.105777844
1	43	13987	1508	0.107814399
1	44	14171	1711	0.120739538
1	45	14800	1883	0.12722973
1	46	15792	2046	0.129559271
1	47	16860	2258	0.133926453
1	48	18937	2511	0.13259756
1	49	21298	2869	0.134707484
1	50	23523	3277	0.139310462
1	51	24285	3346	0.137780523
1	52	25817	3574	0.138435914
1	53	27505	3705	0.134702781
1	54	30318	4026	0.132792401
1	55	33927	4391	0.129424942
1	56	37793	5020	0.132828831
1	57	40433	5177	0.128038978
1	58	43868	5422	0.123598067
1	59	47379	6259	0.132104941
1	60	50890	6534	0.128394577
1	61	53785	6973	0.129645812
1	62	56315	7468	0.132611205
1	63	59934	7893	0.131694864
1	64	61382	8028	0.130787527
1	65	62742	8489	0.135300118
1	66	64382	8696	0.135068808
1	67	65216	8749	0.134154195
1	68	66614	9163	0.137553667
1	69	67439	9425	0.139755928
1	70	69543	9924	0.142703076
1	71	71515	10144	0.141844368
1	72	75354	10795	0.14325716
1	73	80891	11592	0.143303952
1	74	76132	11131	0.146206589
1	75	69798	10239	0.146694748
1	76	73883	10776	0.145852226
1	77	79055	11324	0.143242047
1	78	79390	11356	0.143040685
1	79	75659	10792	0.142640003
1	80	74303	10728	0.144381788
1	81	74155	10385	0.140044501
1	82	74371	10442	0.14040419
1	83	73914	10471	0.141664637
1	84	72842	10008	0.137393262
1	85	671962	84493	0.125740741
