NAME	Mass	Diameter	Gravity	RotPeriod	DayLength	DistToSun	MeanTemp	Moons	Rings
Units	1024kg	km	m/s2	hours	hours	106km	c	number	Y/N
MERCURY	0.33	4879	3.7	1407.6	4222.6	57.9	167	0	0
VENUS	4.87	12104	8.9	-5832.5	2802	108.2	464	0	0
EARTH	5.97	12756	9.8	23.9	24	149.6	15	1	0
MOON	0.073	3475	1.6	655.7	708.7	0.384	-20	0	0
MARS	0.642	6792	3.7	24.6	24.7	227.9	-65	2	0
JUPITER	1898	142984	23.1	9.9	9.9	778.6	-110	79	1
SATURN	568	120536	9	10.7	10.7	1433.5	-140	82	1
URANUS	86.8	51118	8.7	-17.2	17.2	2872.5	-195	27	1
NEPTUNE	102	49528	11	16.1	16.1	4495.1	-200	14	1
PLUTO	0.0146	2370	0.7	-153.3	153.3	5906.4	-225	5	0
PLANETX	59.7	-1	-1	-1	-1	89902.0	-270	-1	0














